name,color,category,sound_url
2001 space odissey,rojo,movies,/audio/2001_space_odissey.mp3
24,naranja,tv,/audio/24.mp3
a team,rojo,tv,/audio/a_team.mp3
acdc,rojo,music,/audio/acdc.mp3
addams family,verde,tv,/audio/addams_family.mp3
adventure time,morado,tv,/audio/adventure_time.mp3
ah ah ah,azul,movies,/audio/ah_ah_ah.mp3
ai seeu te pego,rojo,music,/audio/ai_seeu_te_pego.mp3
aku aku,amarillo,games,/audio/aku_aku.mp3
an enemy,azul,internet,/audio/an_enemy.mp3
applause,verde,real-life,/audio/applause.mp3
arrow in knee,azul,games,/audio/arrow_in_knee.mp3
back to the future,verde,movies,/audio/back_to_the_future.mp3
bad to the bone,verde,music,/audio/bad_to_the_bone.mp3
badadipoopi,amarillo,tv,/audio/badadipoopi.mp3
badger,rojo,internet,/audio/badger.mp3
badumtss,rojo,real-life,/audio/badumtss.mp3
balls of steel,rojo,annoy,/audio/balls_of_steel.mp3
banana phone,amarillo,internet,/audio/banana_phone.mp3
barbra streissand,amarillo,annoy,/audio/barbra_streissand.mp3
bazinga,negro,tv,/audio/bazinga.mp3
beegees,negro,music,/audio/beegees.mp3
bel air,blanco,tv,/audio/bel_air.mp3
bells,amarillo,annoy,/audio/bells.mp3
bender ass,naranja,tv,/audio/bender_ass.mp3
benny hill,rojo,tv,/audio/benny_hill.mp3
beverly hills,azul,music,/audio/beverly_hills.mp3
billy and mandy,negro,tv,/audio/billy_and_mandy.mp3
bird is the word,verde,tv,/audio/bird_is_the_word.mp3
blaster,azul,games,/audio/blaster.mp3
bonnie tyler,amarillo,music,/audio/bonnie_tyler.mp3
boom headshot,rojo,internet,/audio/boom_headshot.mp3
borderland,naranja,games,/audio/borderland.mp3
braveheart,amarillo,movies,/audio/braveheart.mp3
burned,amarillo,tv,/audio/burned.mp3
buzz lightyear,morado,movies,/audio/buzz_lightyear.mp3
cafe con leche,rojo,real-life,/audio/cafe_con_leche.mp3
call me maybe,morado,music,/audio/call_me_maybe.mp3
camera shutter,negro,real-life,/audio/camera_shutter.mp3
cant touch this,blanco,music,/audio/cant_touch_this.mp3
careless whisper,verde,music,/audio/careless_whisper.mp3
carl,verde,internet,/audio/carl.mp3
censor beep,naranja,annoy,/audio/censor_beep.mp3
century fox,negro,movies,/audio/century_fox.mp3
challenge accepted,naranja,tv,/audio/challenge_accepted.mp3
champions,naranja,music,/audio/champions.mp3
chan,azul,real-life,/audio/chan.mp3
chan chan,rojo,real-life,/audio/chan_chan.mp3
charlie unicorn,azul,internet,/audio/charlie_unicorn.mp3
chewbacca,blanco,movies,/audio/chewbacca.mp3
child crying,negro,annoy,/audio/child_crying.mp3
chocolate rain,rojo,music,/audio/chocolate_rain.mp3
circus,morado,real-life,/audio/circus.mp3
circus afro,naranja,movies,/audio/circus_afro.mp3
clock,morado,annoy,/audio/clock.mp3
combo breaker,morado,games,/audio/combo_breaker.mp3
correct,verde,real-life,/audio/correct.mp3
counter strike,naranja,games,/audio/counter_strike.mp3
courage cowardly dog,verde,tv,/audio/courage_cowardly_dog.mp3
cow and chicken,azul,tv,/audio/cow_and_chicken.mp3
creeper,azul,games,/audio/creeper.mp3
crickets,verde,real-life,/audio/crickets.mp3
cs italy,verde,games,/audio/cs_italy.mp3
cuek,amarillo,annoy,/audio/cuek.mp3
darth vader,rojo,movies,/audio/darth_vader.mp3
delicius muffin,verde,internet,/audio/delicius_muffin.mp3
demacia,negro,games,/audio/demacia.mp3
demacia lux,blanco,games,/audio/demacia_lux.mp3
developers,verde,internet,/audio/developers.mp3
dexter,azul,tv,/audio/dexter.mp3
dexter lab,rojo,tv,/audio/dexter_lab.mp3
die potato,negro,internet,/audio/die_potato.mp3
digimon adventure,morado,tv,/audio/digimon_adventure.mp3
ding ding dong,amarillo,music,/audio/ding_ding_dong.mp3
disney,azul,movies,/audio/disney.mp3
do a barrel roll,azul,games,/audio/do_a_barrel_roll.mp3
dogs out,azul,music,/audio/dogs_out.mp3
doh,blanco,tv,/audio/doh.mp3
donkey kong jr,blanco,games,/audio/donkey_kong_jr.mp3
dont worry be happy,amarillo,music,/audio/dont_worry_be_happy.mp3
dora,negro,tv,/audio/dora.mp3
dragon ball,rojo,tv,/audio/dragon_ball.mp3
drama,azul,real-life,/audio/drama.mp3
dramatic,morado,internet,/audio/dramatic.mp3
drumroll,blanco,real-life,/audio/drumroll.mp3
ea games,azul,games,/audio/ea_games.mp3
ea sports,rojo,games,/audio/ea_sports.mp3
ed edd eddy,morado,tv,/audio/ed_edd_eddy.mp3
emergency yodel,blanco,internet,/audio/emergency_yodel.mp3
epic,amarillo,internet,/audio/epic.mp3
epic sax guy,verde,internet,/audio/epic_sax_guy.mp3
es un ladron,azul,tv,/audio/es_un_ladron.mp3
europe,negro,music,/audio/europe.mp3
evil laugh,negro,annoy,/audio/evil_laugh.mp3
excellent,naranja,tv,/audio/excellent.mp3
exorcist,negro,movies,/audio/exorcist.mp3
eye of the tiger,naranja,music,/audio/eye_of_the_tiger.mp3
falcon punch,verde,annoy,/audio/falcon_punch.mp3
family guy fart match,amarillo,tv,/audio/family_guy_fart_match.mp3
fatality,morado,games,/audio/fatality.mp3
finish him,amarillo,games,/audio/finish_him.mp3
fire in the hole,verde,games,/audio/fire_in_the_hole.mp3
fly you fools,verde,movies,/audio/fly_you_fools.mp3
foster imaginary friends,naranja,tv,/audio/foster_imaginary_friends.mp3
free falling,verde,music,/audio/free_falling.mp3
friends,verde,tv,/audio/friends.mp3
fringe,amarillo,tv,/audio/fringe.mp3
fuck off,negro,annoy,/audio/fuck_off.mp3
full monty,amarillo,movies,/audio/full_monty.mp3
fus ro dah,negro,internet,/audio/fus_ro_dah.mp3
futurama,negro,tv,/audio/futurama.mp3
gaaaay,amarillo,internet,/audio/gaaaay.mp3
game of thrones,blanco,tv,/audio/game_of_thrones.mp3
gamecube intro,azul,games,/audio/gamecube_intro.mp3
gangnam style,negro,music,/audio/gangnam_style.mp3
gangsta rap nigga,negro,music,/audio/gangsta_rap_nigga.mp3
garbage truck,azul,real-life,/audio/garbage_truck.mp3
gentleman,azul,music,/audio/gentleman.mp3
ghost buster,morado,movies,/audio/ghost_buster.mp3
godzilla,negro,movies,/audio/godzilla.mp3
gol de senyor,rojo,internet,/audio/gol_de_senyor.mp3
gong,naranja,real-life,/audio/gong.mp3
got the power,blanco,music,/audio/got_the_power.mp3
gryffindor,blanco,movies,/audio/gryffindor.mp3
guile theme,naranja,games,/audio/guile_theme.mp3
ha ha,morado,tv,/audio/ha_ha.mp3
hadouken,blanco,games,/audio/hadouken.mp3
hakuna matata,naranja,movies,/audio/hakuna_matata.mp3
hallelujah long,blanco,real-life,/audio/hallelujah_long.mp3
hallelujah short,negro,real-life,/audio/hallelujah_short.mp3
halloween,rojo,movies,/audio/halloween.mp3
harlem shake,morado,internet,/audio/harlem_shake.mp3
harry potter,azul,movies,/audio/harry_potter.mp3
hasta la vista baby,verde,movies,/audio/hasta_la_vista_baby.mp3
headcrab,naranja,games,/audio/headcrab.mp3
hello nurse,blanco,tv,/audio/hello_nurse.mp3
heres johnny,amarillo,movies,/audio/heres_johnny.mp3
hey apple,morado,annoy,/audio/hey_apple.mp3
hobbits,amarillo,internet,/audio/hobbits.mp3
hodor hodor,azul,tv,/audio/hodor_hodor.mp3
hohoho,rojo,annoy,/audio/hohoho.mp3
holy shit,blanco,games,/audio/holy_shit.mp3
homer bocadillo,amarillo,tv,/audio/homer_bocadillo.mp3
homer head,rojo,tv,/audio/homer_head.mp3
house,azul,tv,/audio/house.mp3
humiliation,morado,games,/audio/humiliation.mp3
i have no idea,blanco,games,/audio/i_have_no_idea.mp3
i kill you,blanco,internet,/audio/i_kill_you.mp3
i like trains,negro,internet,/audio/i_like_trains.mp3
iam your father,morado,movies,/audio/iam_your_father.mp3
ill be back,negro,movies,/audio/ill_be_back.mp3
im batman,blanco,movies,/audio/im_batman.mp3
in the mood,amarillo,music,/audio/in_the_mood.mp3
inception,naranja,movies,/audio/inception.mp3
incorrect,rojo,real-life,/audio/incorrect.mp3
indiana jones,rojo,movies,/audio/indiana_jones.mp3
inet is for porn,azul,internet,/audio/inet_is_for_porn.mp3
inspector gadget,verde,tv,/audio/inspector_gadget.mp3
its a trap,azul,movies,/audio/its_a_trap.mp3
its leviosa,verde,movies,/audio/its_leviosa.mp3
jabba,amarillo,movies,/audio/jabba.mp3
jack box,negro,real-life,/audio/jack_box.mp3
james bond,morado,movies,/audio/james_bond.mp3
jaws,negro,movies,/audio/jaws.mp3
jetsons,negro,tv,/audio/jetsons.mp3
jiggi,morado,games,/audio/jiggi.mp3
jigglypuff,morado,tv,/audio/jigglypuff.mp3
jingle bells,azul,music,/audio/jingle_bells.mp3
johnny bravo,blanco,tv,/audio/johnny_bravo.mp3
jungle,naranja,tv,/audio/jungle.mp3
jurassic park satellite phone,morado,movies,/audio/jurassic_park_satellite_phone.mp3
kamehameha,blanco,tv,/audio/kamehameha.mp3
keyboard cat,negro,internet,/audio/keyboard_cat.mp3
khann,blanco,movies,/audio/khann.mp3
kill bill,naranja,movies,/audio/kill_bill.mp3
kill bill fight,rojo,movies,/audio/kill_bill_fight.mp3
kirby invincibility,verde,games,/audio/kirby_invincibility.mp3
kitt,rojo,tv,/audio/kitt.mp3
lalalala,naranja,internet,/audio/lalalala.mp3
law and order,amarillo,tv,/audio/law_and_order.mp3
lazor,azul,tv,/audio/lazor.mp3
leeeeroy,amarillo,internet,/audio/leeeeroy.mp3
legendary,verde,tv,/audio/legendary.mp3
let the bodies,negro,music,/audio/let_the_bodies.mp3
leviosaah,naranja,internet,/audio/leviosaah.mp3
light saber,azul,movies,/audio/light_saber.mp3
light sabers fight,verde,movies,/audio/light_sabers_fight.mp3
like a boss,blanco,real-life,/audio/like_a_boss.mp3
loituma,morado,internet,/audio/loituma.mp3
look at my horse,verde,internet,/audio/look_at_my_horse.mp3
looney toons,negro,tv,/audio/looney_toons.mp3
lost smoke,morado,tv,/audio/lost_smoke.mp3
luigi mamma mia,verde,games,/audio/luigi_mamma_mia.mp3
mac startup,blanco,real-life,/audio/mac_startup.mp3
macarena,verde,music,/audio/macarena.mp3
madagascar,amarillo,movies,/audio/madagascar.mp3
mario,rojo,annoy,/audio/mario.mp3
mario 1up,verde,games,/audio/mario_1up.mp3
mario coin,amarillo,games,/audio/mario_coin.mp3
mario fanfare,rojo,games,/audio/mario_fanfare.mp3
mario invincible,azul,games,/audio/mario_invincible.mp3
mario lose,morado,games,/audio/mario_lose.mp3
mario underground,rojo,games,/audio/mario_underground.mp3
mc gyver,naranja,tv,/audio/mc_gyver.mp3
medic,azul,games,/audio/medic.mp3
merry christmas,naranja,annoy,/audio/merry_christmas.mp3
metal gear alert,azul,games,/audio/metal_gear_alert.mp3
metal gear call,morado,games,/audio/metal_gear_call.mp3
metal gear mantis,negro,games,/audio/metal_gear_mantis.mp3
metal gear snake,verde,games,/audio/metal_gear_snake.mp3
metro goldwyn lion,morado,movies,/audio/metro_goldwyn_lion.mp3
metroid,naranja,games,/audio/metroid.mp3
mine,negro,movies,/audio/mine.mp3
misfits,blanco,tv,/audio/misfits.mp3
mission imposible,blanco,movies,/audio/mission_imposible.mp3
mjowww,negro,internet,/audio/mjowww.mp3
mlb,rojo,tv,/audio/mlb.mp3
money money,negro,games,/audio/money_money.mp3
monster kill,blanco,annoy,/audio/monster_kill.mp3
mortal kombat,naranja,games,/audio/mortal_kombat.mp3
movie record,naranja,movies,/audio/movie_record.mp3
mr grinch,rojo,movies,/audio/mr_grinch.mp3
mrbison yes,amarillo,tv,/audio/mrbison_yes.mp3
msn,azul,internet,/audio/msn.mp3
muppets,azul,tv,/audio/muppets.mp3
murloc,blanco,annoy,/audio/murloc.mp3
my precious,azul,movies,/audio/my_precious.mp3
napalm,verde,movies,/audio/napalm.mp3
narwhals,azul,internet,/audio/narwhals.mp3
nazgul scream,amarillo,movies,/audio/nazgul_scream.mp3
nein nein,morado,movies,/audio/nein_nein.mp3
nespresso,verde,tv,/audio/nespresso.mp3
ninja turtles,naranja,tv,/audio/ninja_turtles.mp3
nirvana,morado,music,/audio/nirvana.mp3
nokia 3310,naranja,real-life,/audio/nokia_3310.mp3
nom nom nom,negro,internet,/audio/nom_nom_nom.mp3
norman green,verde,music,/audio/norman_green.mp3
nuclear alarm,amarillo,real-life,/audio/nuclear_alarm.mp3
nuclear launch,amarillo,games,/audio/nuclear_launch.mp3
nyancat,rojo,internet,/audio/nyancat.mp3
objection,negro,internet,/audio/objection.mp3
ohmmm,morado,annoy,/audio/ohmmm.mp3
ole ole,azul,real-life,/audio/ole_ole.mp3
omnomnom,negro,tv,/audio/omnomnom.mp3
one missed call,negro,movies,/audio/one_missed_call.mp3
oompa loompa,rojo,music,/audio/oompa_loompa.mp3
over 9000,rojo,internet,/audio/over_9000.mp3
pacman death,amarillo,games,/audio/pacman_death.mp3
peanut jelly,amarillo,internet,/audio/peanut_jelly.mp3
penny,morado,tv,/audio/penny.mp3
pentakee,morado,internet,/audio/pentakee.mp3
pentakill,azul,games,/audio/pentakill.mp3
phone ring,morado,annoy,/audio/phone_ring.mp3
piece of candy,naranja,tv,/audio/piece_of_candy.mp3
pikachu,amarillo,tv,/audio/pikachu.mp3
pingu mec mec,blanco,tv,/audio/pingu_mec_mec.mp3
playstation 1,azul,real-life,/audio/playstation_1.mp3
po pi po,morado,music,/audio/po_pi_po.mp3
pokemon,rojo,tv,/audio/pokemon.mp3
pokemon battle,negro,games,/audio/pokemon_battle.mp3
pokemon heal,blanco,games,/audio/pokemon_heal.mp3
pop corn,amarillo,music,/audio/pop_corn.mp3
porque,negro,real-life,/audio/porque.mp3
porque no te callas,morado,real-life,/audio/porque_no_te_callas.mp3
portal gun,azul,games,/audio/portal_gun.mp3
portal turret,blanco,games,/audio/portal_turret.mp3
portal turret opera,blanco,games,/audio/portal_turret_opera.mp3
portal turret salute,blanco,games,/audio/portal_turret_salute.mp3
potato eat,amarillo,tv,/audio/potato_eat.mp3
power rangers,rojo,tv,/audio/power_rangers.mp3
powerpuff girls,amarillo,tv,/audio/powerpuff_girls.mp3
predator,blanco,movies,/audio/predator.mp3
ps3 trophy,amarillo,games,/audio/ps3_trophy.mp3
psycho,negro,movies,/audio/psycho.mp3
puddi puddi,amarillo,internet,/audio/puddi_puddi.mp3
pulp fiction,naranja,movies,/audio/pulp_fiction.mp3
r2d2,rojo,movies,/audio/r2d2.mp3
rabbids,blanco,games,/audio/rabbids.mp3
raining men,negro,music,/audio/raining_men.mp3
ralph,amarillo,tv,/audio/ralph.mp3
rock you,naranja,music,/audio/rock_you.mp3
rodolfo,azul,music,/audio/rodolfo.mp3
roger roger,azul,movies,/audio/roger_roger.mp3
roggan,negro,games,/audio/roggan.mp3
rumble,azul,tv,/audio/rumble.mp3
sad trombone,azul,real-life,/audio/sad_trombone.mp3
sad tuba,amarillo,real-life,/audio/sad_tuba.mp3
sailor moon,verde,tv,/audio/sailor_moon.mp3
saw,verde,movies,/audio/saw.mp3
sc terran,azul,games,/audio/sc_terran.mp3
sega,naranja,games,/audio/sega.mp3
sexy and knowit,amarillo,music,/audio/sexy_and_knowit.mp3
shhh ahhh,negro,tv,/audio/shhh_ahhh.mp3
shoryuken,azul,games,/audio/shoryuken.mp3
shotgun,rojo,games,/audio/shotgun.mp3
shut up,morado,annoy,/audio/shut_up.mp3
simons cat,rojo,internet,/audio/simons_cat.mp3
sims achievement,blanco,games,/audio/sims_achievement.mp3
sims win,naranja,games,/audio/sims_win.mp3
sinsajo,naranja,movies,/audio/sinsajo.mp3
sixty foar,rojo,internet,/audio/sixty_foar.mp3
skull kid,rojo,games,/audio/skull_kid.mp3
skyrim,azul,games,/audio/skyrim.mp3
slender,verde,games,/audio/slender.mp3
soft kitty,blanco,tv,/audio/soft_kitty.mp3
sonar,verde,real-life,/audio/sonar.mp3
sonic invincible,azul,games,/audio/sonic_invincible.mp3
spanish flea,naranja,music,/audio/spanish_flea.mp3
spider pig,amarillo,movies,/audio/spider_pig.mp3
spongebob,rojo,tv,/audio/spongebob.mp3
star wars,morado,movies,/audio/star_wars.mp3
star wars cantina,negro,movies,/audio/star_wars_cantina.mp3
star wars end,rojo,movies,/audio/star_wars_end.mp3
star wars i love you,azul,movies,/audio/star_wars_i_love_you.mp3
star wars intro,blanco,movies,/audio/star_wars_intro.mp3
star wars noooo,naranja,movies,/audio/star_wars_noooo.mp3
star wars xwing,blanco,movies,/audio/star_wars_xwing.mp3
stewie tuba,amarillo,tv,/audio/stewie_tuba.mp3
still alive,blanco,games,/audio/still_alive.mp3
strong punch,rojo,tv,/audio/strong_punch.mp3
suit up,azul,tv,/audio/suit_up.mp3
super meat boy,rojo,games,/audio/super_meat_boy.mp3
super smash bros,morado,games,/audio/super_smash_bros_intro.mp3
superman,verde,movies,/audio/superman.mp3
swanee,morado,annoy,/audio/swanee.mp3
swat,rojo,tv,/audio/swat.mp3
tada,azul,annoy,/audio/tada.mp3
tank,verde,games,/audio/tank.mp3
tarzan,verde,movies,/audio/tarzan.mp3
tbbt intro,naranja,tv,/audio/tbbt_intro.mp3
team fortress2,rojo,games,/audio/team_fortress2.mp3
team rocket,negro,tv,/audio/team_rocket.mp3
tekken get ready,amarillo,games,/audio/tekken_get_ready.mp3
terminator2,amarillo,movies,/audio/terminator2.mp3
tetris,naranja,games,/audio/tetris.mp3
tf2 behind you,blanco,games,/audio/tf2_behind_you.mp3
tf2 fanfare,rojo,games,/audio/tf2_fanfare.mp3
tf2 kaboom,morado,games,/audio/tf2_kaboom.mp3
tf2 pyro,amarillo,games,/audio/tf2_pyro.mp3
that 70 show,naranja,tv,/audio/that_70_show.mp3
the big bang theory,morado,tv,/audio/the_big_bang_theory.mp3
the flinstones,blanco,tv,/audio/the_flinstones.mp3
the lord of the rings,morado,movies,/audio/the_lord_of_the_rings.mp3
the sims tv,verde,games,/audio/the_sims_tv.mp3
this is sparta,negro,movies,/audio/this_is_sparta.mp3
throw cheese,verde,internet,/audio/throw_cheese.mp3
thx sound,blanco,movies,/audio/thx_sound.mp3
toasty,morado,games,/audio/toasty.mp3
topgun,naranja,movies,/audio/topgun.mp3
transformation,rojo,movies,/audio/transformation.mp3
troll,azul,movies,/audio/troll.mp3
trolololol,amarillo,internet,/audio/trolololol.mp3
tumbleweed,verde,real-life,/audio/tumbleweed.mp3
universal,morado,real-life,/audio/universal.mp3
victory ff,morado,annoy,/audio/victory_ff.mp3
vuvuzela,negro,annoy,/audio/vuvuzela.mp3
waka waka,amarillo,annoy,/audio/waka_waka.mp3
walle,verde,movies,/audio/walle.mp3
warcraft2 sheep,verde,games,/audio/warcraft2_sheep.mp3
was that sarcasm,rojo,tv,/audio/was_that_sarcasm.mp3
wazzup,amarillo,tv,/audio/wazzup.mp3
wc,verde,annoy,/audio/wc.mp3
we wish you,blanco,music,/audio/we_wish_you.mp3
western,amarillo,movies,/audio/western.mp3
what is love,verde,music,/audio/what_is_love.mp3
whats this,morado,movies,/audio/whats_this.mp3
where is perry,azul,tv,/audio/where_is_perry.mp3
whos that pokemon,verde,tv,/audio/whos_that_pokemon.mp3
whos your daddy,negro,tv,/audio/whos_your_daddy.mp3
wilhelm scream,negro,movies,/audio/wilhelm_scream.mp3
windows stop,naranja,real-life,/audio/windows_stop.mp3
windows95,rojo,real-life,/audio/windows95.mp3
windows98,naranja,real-life,/audio/windows98.mp3
winter is coming,blanco,tv,/audio/winter_is_coming.mp3
wololo,naranja,annoy,/audio/wololo.mp3
wombo combo,amarillo,internet,/audio/wombo_combo.mp3
woody woodpecker,rojo,tv,/audio/woody_woodpecker_laugh.mp3
worms bye bye,morado,games,/audio/worms_bye_bye.mp3
wrong,rojo,real-life,/audio/wrong.mp3
wryyy,verde,annoy,/audio/wryyy.mp3
wtf boom,azul,internet,/audio/wtf_boom.mp3
wubwubwubwub,morado,music,/audio/wubwubwubwub.mp3
xfiles,morado,tv,/audio/xfile.mp3
ya tu sabe,azul,music,/audio/ya_tu_sabe.mp3
yabba dabba doo,naranja,movies,/audio/yabba_dabba_doo.mp3
yata,naranja,tv,/audio/yata.mp3
yeah science,blanco,tv,/audio/yeah_science.mp3
yeahhh,blanco,tv,/audio/yeahhh.mp3
yoda,rojo,movies,/audio/yoda.mp3
you are pirate,amarillo,internet,/audio/you_are_pirate.mp3
you killed kenny,rojo,tv,/audio/you_killed_kenny.mp3
you met ted,amarillo,tv,/audio/you_met_ted.mp3
you shall not pass,azul,movies,/audio/you_shall_not_pass.mp3
you talking to me,amarillo,movies,/audio/you_talking_to_me.mp3
your profession,verde,movies,/audio/your_profession.mp3
zas,azul,tv,/audio/zas.mp3
zasca,verde,tv,/audio/zasca.mp3
zelda hey listen,amarillo,games,/audio/zelda_hey_listen.mp3
zelda item,naranja,games,/audio/zelda_item.mp3
zelda lullaby,blanco,games,/audio/zelda_lullaby.mp3
zelda secret,naranja,games,/audio/zelda_secret.mp3
zoidberg woop,negro,tv,/audio/zoidberg_woop.mp3
